AVL, médiaTempIns, qtdBusca, médiaTempBusca
100 (rand),0.000133,10.000000,0.000006
1000 (rand),0.001665,10.000000,0.000008
10000 (rand),0.012152,10.000000,0.000006
100000 (rand),0.059217,10.000000,0.000003
200000 (rand),0.124579,10.000000,0.000004
300000 (rand),0.195483,10.000000,0.000004
400000 (rand),0.267614,10.000000,0.000005
500000 (rand),0.348264,10.000000,0.000005
700000 (rand),0.511309,10.000000,0.000006
900000 (rand),0.685642,10.000000,0.000006
1000000 (rand),0.932203,10.000000,0.000007
2000000 (rand),2.182246,10.000000,0.000009
3000000 (rand),3.545489,10.000000,0.000009
100 (seq),0.000086,10.000000,0.000005
1000 (seq),0.001180,10.000000,0.000009
10000 (seq),0.010353,10.000000,0.000008
100000 (seq),0.043649,10.000000,0.000004
200000 (seq),0.087273,10.000000,0.000007
300000 (seq),0.132021,10.000000,0.000009
400000 (seq),0.179726,10.000000,0.000010
500000 (seq),0.230036,10.000000,0.000010
700000 (seq),0.333445,10.000000,0.000012
900000 (seq),0.435467,10.000000,0.000012
1000000 (seq),0.486655,10.000000,0.000012
2000000 (seq),1.058377,10.000000,0.000016
3000000 (seq),1.663867,10.000000,0.000016
100 (rand),0.000137,100.000000,0.000030
1000 (rand),0.001659,100.000000,0.000044
10000 (rand),0.018192,100.000000,0.000061
100000 (rand),0.062069,100.000000,0.000023
200000 (rand),0.123998,100.000000,0.000029
300000 (rand),0.194405,100.000000,0.000034
400000 (rand),0.267911,100.000000,0.000037
500000 (rand),0.348398,100.000000,0.000042
700000 (rand),0.511554,100.000000,0.000047
900000 (rand),0.686885,100.000000,0.000050
1000000 (rand),0.932955,100.000000,0.000057
2000000 (rand),2.187018,100.000000,0.000068
3000000 (rand),3.544184,100.000000,0.000077
100 (seq),0.000085,100.000000,0.000026
1000 (seq),0.001172,100.000000,0.000046
10000 (seq),0.013211,100.000000,0.000073
100000 (seq),0.041015,100.000000,0.000032
200000 (seq),0.086854,100.000000,0.000045
300000 (seq),0.132580,100.000000,0.000057
400000 (seq),0.180020,100.000000,0.000069
500000 (seq),0.227697,100.000000,0.000076
700000 (seq),0.329689,100.000000,0.000087
900000 (seq),0.432251,100.000000,0.000093
1000000 (seq),0.481263,100.000000,0.000098
2000000 (seq),1.049821,100.000000,0.000120
3000000 (seq),1.655389,100.000000,0.000128
100 (rand),0.000132,1000.000000,0.000244
1000 (rand),0.001669,1000.000000,0.000383
10000 (rand),0.018842,1000.000000,0.000561
100000 (rand),0.058255,1000.000000,0.000212
200000 (rand),0.123143,1000.000000,0.000258
300000 (rand),0.195315,1000.000000,0.000310
400000 (rand),0.269650,1000.000000,0.000341
500000 (rand),0.349291,1000.000000,0.000369
700000 (rand),0.513749,1000.000000,0.000409
900000 (rand),0.687335,1000.000000,0.000439
1000000 (rand),0.933077,1000.000000,0.000524
2000000 (rand),2.185957,1000.000000,0.000632
3000000 (rand),3.548753,1000.000000,0.000700
100 (seq),0.000086,1000.000000,0.000228
1000 (seq),0.001171,1000.000000,0.000388
10000 (seq),0.012130,1000.000000,0.000587
100000 (seq),0.042082,1000.000000,0.000272
200000 (seq),0.086950,1000.000000,0.000368
300000 (seq),0.132469,1000.000000,0.000480
400000 (seq),0.180498,1000.000000,0.000547
500000 (seq),0.228071,1000.000000,0.000614
700000 (seq),0.331522,1000.000000,0.000687
900000 (seq),0.430833,1000.000000,0.000734
1000000 (seq),0.481640,1000.000000,0.000759
2000000 (seq),1.046814,1000.000000,0.000909
3000000 (seq),1.648958,1000.000000,0.000996
Arvore, médiaTempIns, qtdBusca, médiaTempBusca
100 (rand),0.000062,10.000000,0.000002
1000 (rand),0.000453,10.000000,0.000003
10000 (rand),0.005497,10.000000,0.000004
100000 (rand),0.087769,10.000000,0.000013
200000 (rand),0.229806,10.000000,0.000012
300000 (rand),0.363910,10.000000,0.000013
400000 (rand),0.539325,10.000000,0.000016
500000 (rand),0.693571,10.000000,0.000019
700000 (rand),1.047793,10.000000,0.000020
900000 (rand),0.915476,10.000000,0.000012
1000000 (rand),1.159303,10.000000,0.000011
2000000 (rand),2.730086,10.000000,0.000016
3000000 (rand),4.468979,10.000000,0.000019
100 (seq),0.000141,10.000000,0.000006
1000 (seq),0.007987,10.000000,0.000034
10000 (seq),0.495731,10.000000,0.000224
100000 (seq),60.657806,10.000000,0.002388
100 (rand),0.000076,100.000000,0.000018
1000 (rand),0.000657,100.000000,0.000023
10000 (rand),0.006812,100.000000,0.000024
100000 (rand),0.058236,100.000000,0.000049
200000 (rand),0.139857,100.000000,0.000061
300000 (rand),0.226879,100.000000,0.000069
400000 (rand),0.338649,100.000000,0.000084
500000 (rand),0.433398,100.000000,0.000082
700000 (rand),0.641533,100.000000,0.000092
900000 (rand),0.866563,100.000000,0.000095
1000000 (rand),1.101318,100.000000,0.000129
2000000 (rand),2.634433,100.000000,0.000140
3000000 (rand),4.307614,100.000000,0.000151
100 (seq),0.000138,100.000000,0.000051
1000 (seq),0.007700,100.000000,0.000261
10000 (seq),0.481401,100.000000,0.001896
100000 (seq),60.122389,100.000000,0.024693
100 (rand),0.000058,1000.000000,0.000150
1000 (rand),0.000723,1000.000000,0.000206
10000 (rand),0.005723,1000.000000,0.000205
100000 (rand),0.058656,1000.000000,0.000381
200000 (rand),0.136774,1000.000000,0.000523
300000 (rand),0.224005,1000.000000,0.000626
400000 (rand),0.337796,1000.000000,0.000734
500000 (rand),0.424975,1000.000000,0.000689
700000 (rand),0.643108,1000.000000,0.000830
900000 (rand),0.852606,1000.000000,0.000883
1000000 (rand),1.141364,1000.000000,0.001075
2000000 (rand),2.637218,1000.000000,0.001321
3000000 (rand),4.296749,1000.000000,0.001442
100 (seq),0.000155,1000.000000,0.000563
1000 (seq),0.006827,1000.000000,0.002250
10000 (seq),0.481347,1000.000000,0.020783
100000 (seq),59.383369,1000.000000,0.221489
Lista, médiaTempIns, qtdBusca, médiaTempBusca
100 (rand),0.000063,10.000000,0.000011
1000 (rand),0.000579,10.000000,0.000079
10000 (rand),0.004090,10.000000,0.000461
100000 (rand),0.013917,10.000000,0.001263
200000 (rand),0.027221,10.000000,0.002096
300000 (rand),0.038940,10.000000,0.003358
400000 (rand),0.049826,10.000000,0.005031
500000 (rand),0.061332,10.000000,0.006853
700000 (rand),0.085966,10.000000,0.009290
900000 (rand),0.109313,10.000000,0.010949
1000000 (rand),0.131474,10.000000,0.014239
2000000 (rand),0.261353,10.000000,0.033497
3000000 (rand),0.406917,10.000000,0.035862
100 (seq),0.000030,10.000000,0.000008
1000 (seq),0.000428,10.000000,0.000078
10000 (seq),0.004227,10.000000,0.000609
100000 (seq),0.018357,10.000000,0.001656
200000 (seq),0.024838,10.000000,0.002194
300000 (seq),0.033932,10.000000,0.003657
400000 (seq),0.044874,10.000000,0.005285
500000 (seq),0.057355,10.000000,0.006914
700000 (seq),0.074347,10.000000,0.009949
900000 (seq),0.093881,10.000000,0.013523
1000000 (seq),0.106379,10.000000,0.016112
2000000 (seq),0.210792,10.000000,0.033625
3000000 (seq),0.316823,10.000000,0.046226
100 (rand),0.000015,100.000000,0.000018
1000 (rand),0.000590,100.000000,0.000594
10000 (rand),0.002727,100.000000,0.003022
100000 (rand),0.012327,100.000000,0.013663
200000 (rand),0.024245,100.000000,0.025739
300000 (rand),0.036731,100.000000,0.044025
400000 (rand),0.048654,100.000000,0.051519
500000 (rand),0.062656,100.000000,0.069465
700000 (rand),0.085993,100.000000,0.090990
900000 (rand),0.109146,100.000000,0.108681
1000000 (rand),0.132177,100.000000,0.145066
2000000 (rand),0.261877,100.000000,0.282532
3000000 (rand),0.391716,100.000000,0.388056
100 (seq),0.000011,100.000000,0.000019
1000 (seq),0.000219,100.000000,0.000312
10000 (seq),0.003585,100.000000,0.005015
100000 (seq),0.010868,100.000000,0.013812
200000 (seq),0.020796,100.000000,0.027222
300000 (seq),0.030450,100.000000,0.045979
400000 (seq),0.041052,100.000000,0.061300
500000 (seq),0.052208,100.000000,0.078123
700000 (seq),0.071743,100.000000,0.109950
900000 (seq),0.092825,100.000000,0.140000
1000000 (seq),0.103266,100.000000,0.150976
2000000 (seq),0.209457,100.000000,0.317421
3000000 (seq),0.317145,100.000000,0.417062
100 (rand),0.000063,1000.000000,0.000738
1000 (rand),0.000545,1000.000000,0.006069
10000 (rand),0.001581,1000.000000,0.015660
100000 (rand),0.012602,1000.000000,0.129790
200000 (rand),0.026685,1000.000000,0.248483
300000 (rand),0.036783,1000.000000,0.384944
400000 (rand),0.048651,1000.000000,0.509619
500000 (rand),0.060825,1000.000000,0.632993
700000 (rand),0.084640,1000.000000,0.840619
900000 (rand),0.108758,1000.000000,1.023707
1000000 (rand),0.130989,1000.000000,1.448652
2000000 (rand),0.268711,1000.000000,2.820468
3000000 (rand),0.392568,1000.000000,4.047705
100 (seq),0.000027,1000.000000,0.000477
1000 (seq),0.000292,1000.000000,0.004354
10000 (seq),0.001272,1000.000000,0.015633
100000 (seq),0.009894,1000.000000,0.134319
200000 (seq),0.021101,1000.000000,0.264532
300000 (seq),0.030550,1000.000000,0.423997
400000 (seq),0.040846,1000.000000,0.571687
500000 (seq),0.051073,1000.000000,0.739836
700000 (seq),0.072628,1000.000000,1.021243
900000 (seq),0.092445,1000.000000,1.343559
1000000 (seq),0.102799,1000.000000,1.485623
2000000 (seq),0.209550,1000.000000,2.974391
3000000 (seq),0.608479,1000.000000,7.051217
